sample_id,bio01_temp,bio12_precip,bio15_precip_season,elevation,landforms,soil_clay,soil_oc,soil_ph,label
36135_0,170.0,1380.0,22.0,43,34,28,2,59,1
36147_0,171.0,1380.0,22.0,39,24,18,2,60,99
36151_0,161.0,1249.0,20.0,74,24,22,3,62,3
36156_0,168.0,1372.0,21.0,45,34,21,2,60,3
36166_0,158.0,1256.0,20.0,67,34,28,3,64,1
36169_0,160.0,1285.0,20.0,67,41,27,10,60,5
36176_0,160.0,1233.0,19.0,73,24,16,3,58,99
36180_0,156.0,1275.0,19.0,75,41,29,8,62,1
36194_0,167.0,1332.0,20.0,52,41,27,6,62,5
36197_0,169.0,1319.0,20.0,54,34,25,7,65,5
36242_0,171.0,1307.0,17.0,51,24,16,2,58,2
36260_0,167.0,1341.0,21.0,48,24,27,2,59,5
36274_0,171.0,1385.0,22.0,40,41,28,2,59,1
36277_0,148.0,1225.0,19.0,84,34,16,2,61,1
36327_0,170.0,1383.0,22.0,40,24,20,2,58,5
36341_0,160.0,1272.0,19.0,62,41,24,7,58,3
36343_0,154.0,1258.0,18.0,72,34,21,2,61,5
36348_0,157.0,1244.0,20.0,63,34,33,3,58,5
36350_0,143.0,1203.0,16.0,174,22,14,3,54,5
36357_0,154.0,1206.0,18.0,77,24,27,2,61,3
36372_0,171.0,1392.0,21.0,44,34,22,6,55,5
36373_0,150.0,1255.0,18.0,75,24,16,2,63,5
36383_0,165.0,1369.0,20.0,51,24,29,3,57,3
36386_0,164.0,1343.0,20.0,49,31,22,2,60,5
36423_0,171.0,1342.0,21.0,36,24,43,5,62,99
36462_0,145.0,1184.0,17.0,106,31,17,4,59,5
36464_0,160.0,1276.0,20.0,73,24,23,8,55,3
36488_0,161.0,1264.0,19.0,63,34,35,14,58,1
36489_0,159.0,1249.0,20.0,65,24,45,3,55,5
36491_0,156.0,1247.0,19.0,76,34,38,3,56,5
36522_0,170.0,1309.0,19.0,55,24,17,2,58,1
36551_0,160.0,1343.0,20.0,68,34,21,4,56,3
36565_0,160.0,1290.0,21.0,57,24,30,2,59,99
36568_0,158.0,1245.0,20.0,61,41,34,2,60,3
36572_0,161.0,1254.0,20.0,69,34,21,2,58,3
36575_0,159.0,1259.0,20.0,64,24,34,2,63,5
36586_0,164.0,1306.0,20.0,56,34,28,8,65,2
36595_0,161.0,1274.0,21.0,58,24,42,4,59,5
36603_0,160.0,1253.0,20.0,61,41,40,6,61,5
36607_0,161.0,1304.0,20.0,85,41,29,2,58,3
